Entry,Study,Region,Site,Depth.m,Sample.ID,Sample.Year,Sample.Month,Sample.Day,Latitude,Longitude,Taxon,Fixed.or.Random,Sample.Unit.Size.sq.m,Percent.Cover,Stipe.Density.num.per.sq.m,Individual.Density.num.per.sq.m,Biomass.kg.wet.per.sq.m
79,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2005,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,22.24719101,NA
80,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2007,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,7.865168539,NA
81,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2009,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,20.8988764,NA
82,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2010,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,19.71910112,NA
83,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2012,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,2.078651685,NA
84,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2013,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,2.584269663,NA
85,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2014,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,3.370786517,NA
86,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2015,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,6.123595506,NA
87,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2016,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,8.202247191,NA
88,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Saccharina latissima,2017,NA,NA,44.55083,-62.01917,Saccharina latissima,NA,NA,NA,NA,2.247191011,NA
89,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2012,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0.112359551,NA
90,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2013,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0.056179775,NA
91,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2014,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0.280898876,NA
92,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2015,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0.112359551,NA
93,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2016,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0.056179775,NA
94,Attridge_et_al._2022,Nova Scotia,The Lodge,8,Attridge_et_al._2022-The Lodge-Laminaria digitata,2017,NA,NA,44.55083,-62.01917,Laminaria digitata,NA,NA,NA,NA,0,NA
148,Witman_et_al._2018,Gulf of Maine,Ammen Rock 1,13.5,Witman_et_al._2018-Ammen Rock 1-Saccharina latissima,2014,NA,NA,42.89058,-68.94351,Saccharina latissima,Random,1,NA,NA,36.29261364,4.869402985
149,Witman_et_al._2018,Gulf of Maine,Ammen Rock 1,13.5,Witman_et_al._2018-Ammen Rock 1-Saccharina latissima,2015,NA,NA,42.89058,-68.94351,Saccharina latissima,Random,1,NA,NA,26.70454545,4.832089552
150,Witman_et_al._2018,Gulf of Maine,Ammen Rock 2,13.5,Witman_et_al._2018-Ammen Rock 2-Saccharina latissima,2015,NA,NA,42.89058,-68.94351,Saccharina latissima,Random,1,NA,NA,34.16193182,3.526119403
151,Witman_et_al._2018,Gulf of Maine,Ammen Rock 2,13.5,Witman_et_al._2018-Ammen Rock 2-Saccharina latissima,2016,NA,NA,42.89058,-68.94351,Saccharina latissima,Random,1,NA,NA,11.36363636,1.97761194
152,Witman_et_al._2018,Gulf of Maine,Lunging Island,13.5,Witman_et_al._2018-Lunging Island-Agarum clathratum,2014,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,7.6171875,0.500779221
153,Witman_et_al._2018,Gulf of Maine,Lunging Island,13.5,Witman_et_al._2018-Lunging Island-Agarum clathratum,2015,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,13.0859375,0.633246753
154,Witman_et_al._2018,Gulf of Maine,Spout Shoal,13.5,Witman_et_al._2018-Spout Shoal-Agarum clathratum,2014,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,0.1953125,0.041038961
155,Witman_et_al._2018,Gulf of Maine,Spout Shoal,13.5,Witman_et_al._2018-Spout Shoal-Agarum clathratum,2015,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,19.921875,0.376103896
156,Witman_et_al._2018,Gulf of Maine,Star Island,13.5,Witman_et_al._2018-Star Island-Agarum clathratum,2014,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,3.7109375,0.104935065
157,Witman_et_al._2018,Gulf of Maine,Star Island,13.5,Witman_et_al._2018-Star Island-Agarum clathratum,2015,NA,NA,43.01112,-71.00862,Agarum clathratum,Random,1,NA,NA,20.1171875,0.198441558
333,O'Brien_et_al._2018,Nova Scotia,The Lodge,8,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2005,6,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,0.25,NA,NA,22.36521739,NA
334,O'Brien_et_al._2018,Nova Scotia,The Lodge,8,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2007,6,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,0.25,NA,NA,7.617391304,NA
335,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2009,7,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,1,NA,NA,20.34782609,NA
336,O'Brien_et_al._2018,Nova Scotia,The Lodge,7.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2010,6,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,1,NA,NA,19.23478261,NA
337,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,6,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.704347826,NA
338,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,7,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,2.052173913,NA
339,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,8,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.704347826,NA
340,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,9,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.913043478,NA
341,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,10,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.565217391,NA
342,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2012,11,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.147826087,NA
343,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2013,4,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.843478261,NA
344,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2013,7,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,2.260869565,NA
345,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2013,9,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.913043478,NA
346,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2013,NA,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,1.913043478,NA
347,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2014,4,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,2.260869565,NA
348,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2014,6,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,3.026086957,NA
349,O'Brien_et_al._2018,Nova Scotia,The Lodge,8.5,"O'Brien_et_al._2018-The Lodge-Saccharina latissima, Laminaria digitata, Agarum clathratum",2014,8,NA,44.55818,-64.02488,"Saccharina latissima, Laminaria digitata, Agarum clathratum",Fixed,NA,NA,NA,2.886956522,NA
