"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,4,49.30155,-67.67941,"Agarum clathratum","fixed",5,NA,NA,0.0166666666666667,NA
2,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,4,49.30155,-67.67941,"Alaria esculenta","fixed",5,NA,NA,0,NA
3,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,4,49.30155,-67.67941,"Saccharina latissima","fixed",5,NA,NA,0.0833333333333333,NA
4,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30239,-67.67924,"Agarum clathratum","fixed",5,NA,NA,0,NA
5,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30239,-67.67924,"Alaria esculenta","fixed",5,NA,NA,7.58333333333333,NA
6,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30239,-67.67924,"Saccharina latissima","fixed",5,NA,NA,2.91666666666667,NA
7,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30265,-67.69881,"Agarum clathratum","fixed",5,NA,NA,0,NA
8,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30265,-67.69881,"Alaria esculenta","fixed",5,NA,NA,4.16666666666667,NA
9,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,6,5,49.30265,-67.69881,"Saccharina latissima","fixed",5,NA,NA,0.1,NA
10,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,5,49.30217,-67.69877,"Agarum clathratum","fixed",5,NA,NA,3.13333333333333,NA
11,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,5,49.30217,-67.69877,"Alaria esculenta","fixed",5,NA,NA,0,NA
12,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,5,49.30217,-67.69877,"Saccharina latissima","fixed",5,NA,NA,0,NA
13,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,6,49.30217,-67.69877,"Agarum clathratum","fixed",5,NA,NA,3.13333333333333,NA
14,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,6,49.30217,-67.69877,"Alaria esculenta","fixed",5,NA,NA,0,NA
15,"Godbout_StLawrence",NA,"Godbout","6","Godbout-2019",2019,6,6,49.30217,-67.69877,"Saccharina latissima","fixed",5,NA,NA,0,NA
16,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,7,3,49.30239,-67.67924,"Agarum clathratum","fixed",5,NA,NA,0.0666666666666667,NA
17,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,7,3,49.30239,-67.67924,"Alaria esculenta","fixed",5,NA,NA,5.91666666666667,5.29216
18,"Godbout_StLawrence",NA,"Godbout","2","Godbout-2019",2019,7,3,49.30239,-67.67924,"Saccharina latissima","fixed",5,NA,NA,6.33333333333333,13.5006
