"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
17,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 1",13.5,"Witman_et_al._2018-Ammen Rock 1-Saccharina latissima",1987,7,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","46.003430531732398","NA"
18,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 1",13.5,"Witman_et_al._2018-Ammen Rock 1-Saccharina latissima",2012,8,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","37.975986277872998","NA"
19,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 1",13.5,"Witman_et_al._2018-Ammen Rock 1-Saccharina latissima",2014,6,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","36.292613636363598","4.8694029850746201"
20,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 1",13.5,"Witman_et_al._2018-Ammen Rock 1-Saccharina latissima",2015,6,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","26.7045454545454","4.8320895522388003"
21,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 2",13.5,"Witman_et_al._2018-Ammen Rock 2-Saccharina latissima",2015,6,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","34.161931818181799","3.5261194029850702"
22,"Witman_et_al._2018","Gulf of Maine","Ammen Rock 2",13.5,"Witman_et_al._2018-Ammen Rock 2-Saccharina latissima",2016,6,NA,42.89058,-68.94351,"Saccharina latissima","Random",1,"NA","NA","11.363636363636299","1.9776119402985"
23,"Witman_et_al._2018","Gulf of Maine","Lunging Island",13.5,"Witman_et_al._2018-Lunging Island-Agarum clathratum",2014,6,NA,43.01112,-71.00862,"Agarum clathratum","Random",1,"NA","NA","7.6171875","0.50077922077921999"
24,"Witman_et_al._2018","Gulf of Maine","Lunging Island",13.5,"Witman_et_al._2018-Lunging Island-Agarum clathratum",2015,6,NA,43.01112,-71.00862,"Agarum clathratum","Random",1,"NA","NA","13.0859375","0.63324675324675295"
25,"Witman_et_al._2018","Gulf of Maine","Spout Shoal",13.5,"Witman_et_al._2018-Spout Shoal-Agarum clathratum",2014,6,NA,43.01112,-71.00862,"Agarum clathratum","Random",1,"NA","NA","0.19531250000002401","4.1038961038961201E-2"
26,"Witman_et_al._2018","Gulf of Maine","Spout Shoal",13.5,"Witman_et_al._2018-Spout Shoal-Agarum clathratum",2015,6,NA,43.01112,-71.00862,"Agarum clathratum","Random",1,"NA","NA","19.921875","0.376103896103896"
