"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 15",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,5,NA,NA,NA
2,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 15",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,NA
3,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 15",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,80,NA,NA,NA
4,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 15",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,NA
5,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 25",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,0,NA,NA,0
6,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 25",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,0
7,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 25",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,90,NA,NA,3.54078
8,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 25",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,0
9,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 35",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,5,NA,NA,NA
10,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 35",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,NA
11,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 35",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,99,NA,NA,NA
12,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 35",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,NA
13,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 5",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,0,NA,NA,0
14,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 5",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,0
15,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 5",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,100,NA,NA,7.35
16,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 5",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,0
17,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 10",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,0,NA,NA,NA
18,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 10",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,NA
19,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 10",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,95,NA,NA,NA
20,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 10",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,NA
21,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 20",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,0,NA,NA,0
22,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 20",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,0
23,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 20",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,70,NA,NA,2.57766
24,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 20",2021,7,1,44.3641,-67.8685,"Saccharina latissima","Random",1,0,NA,NA,0
25,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 30",2021,7,1,44.3641,-67.8685,"Agarum clathratum","Random",1,0,NA,NA,NA
26,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 30",2021,7,1,44.3641,-67.8685,"Alaria esculenta","Random",1,0,NA,NA,NA
27,"farrell_rasher_2026","Gulf of Maine","Downeast_Petit_Manan_Island",6,"Downeast_Petit_Manan_Island 2021 1 30",2021,7,1,44.3641,-67.8685,"Laminaria digitata","Random",1,90,NA,NA,NA
