"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"hubline",NA,"Site29",10,"Site29-2-92-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"0.5",1,NA,NA
2,"hubline",NA,"Site29",10,"Site29-2-93-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"15",1,NA,NA
3,"hubline",NA,"Site29",10,"Site29-2-94-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"0.5",3,NA,NA
4,"hubline",NA,"Site29",10,"Site29-2-97-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"0.5",2,NA,NA
5,"hubline",NA,"Site29",10,"Site29-2-99-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"0.5",1,NA,NA
6,"hubline",NA,"Site29",10,"Site29-2-106-1",2006,6,14,42.34382,-70.90657,"Laminaria sp.","Random",1,"1",2,NA,NA
7,"hubline",NA,"NatReef",10,"NatReef-1-209-1",2006,7,6,42.33844,-70.912625,"Laminaria sp.","Random",1,"5",20,NA,NA
8,"hubline",NA,"NatReef",10,"NatReef-1-210-1",2006,7,6,42.33844,-70.912625,"Laminaria sp.","Random",1,"18",11,NA,NA
9,"hubline",NA,"NatReef",10,"NatReef-1-211-1",2006,7,6,42.33844,-70.912625,"Laminaria sp.","Random",1,"12",22,NA,NA
10,"hubline",NA,"NatReef",10,"NatReef-1-212-1",2006,7,6,42.33844,-70.912625,"Laminaria sp.","Random",1,"30",14,NA,NA
11,"hubline",NA,"NatReef",10,"NatReef-1-213-1",2006,7,6,42.33844,-70.912625,"Laminaria sp.","Random",1,"30",19,NA,NA
12,"hubline",NA,"NatReef",10,"NatReef-1-214-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"25",10,NA,NA
13,"hubline",NA,"NatReef",10,"NatReef-1-215-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"2",5,NA,NA
14,"hubline",NA,"NatReef",10,"NatReef-1-216-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"5",2,NA,NA
15,"hubline",NA,"NatReef",10,"NatReef-1-217-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"3",14,NA,NA
16,"hubline",NA,"NatReef",10,"NatReef-1-218-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"2",8,NA,NA
17,"hubline",NA,"NatReef",10,"NatReef-1-219-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"10",3,NA,NA
18,"hubline",NA,"NatReef",10,"NatReef-1-220-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"35",6,NA,NA
19,"hubline",NA,"NatReef",10,"NatReef-1-221-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"10",4,NA,NA
20,"hubline",NA,"NatReef",10,"NatReef-1-222-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"18",4,NA,NA
21,"hubline",NA,"NatReef",10,"NatReef-1-223-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"7",9,NA,NA
22,"hubline",NA,"NatReef",10,"NatReef-1-224-1",2006,7,5,42.33844,-70.912625,"Laminaria sp.","Random",1,"5",5,NA,NA
23,"hubline",NA,"HublineFill",10,"HublineFill-1-225-1",2006,7,5,42.3437,-70.90597,"Laminaria sp.","Random",1,"3",4,NA,NA
