"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"keen_one",NA,"Baker North",8.55,"Baker North-2014-7-8-1",2014,7,8,42.53804,-70.78646,"Saccharina latissima","random",1,77.5,NA,28.5,2.37826581814398
2,"keen_one",NA,"Baker North",8.33333333333333,"Baker North-2016-8-2-1",2016,8,2,42.53749,-70.78549,"Agarum clathratum","random",1,NA,NA,0,NA
3,"keen_one",NA,"Baker North",8.33333333333333,"Baker North-2016-8-2-1",2016,8,2,42.53749,-70.78549,"Saccharina latissima","random",1,55,NA,9.5,0.533686422119741
4,"keen_one",NA,"Baker North",6.66666666666667,"Baker North-2017-7-19-1",2017,7,19,42.53781,-70.78767,"Saccharina latissima","random",1,56.25,NA,10,0.373995104818367
5,"keen_one",NA,"Baker North",5.52,"Baker North-2018-7-10-1",2018,7,10,42.3227,-70.47183,"Saccharina latissima","random",1,33.75,NA,8.66666666666667,0.218146470242476
6,"keen_one",NA,"Baker North",6.66666666666667,"Baker North-2014-7-8-2",2014,7,8,42.53744,-70.78494,"Saccharina latissima","random",1,86.25,NA,23.1666666666667,1.67589172838011
7,"keen_one",NA,"Baker North",10.1,"Baker North-2015-7-7-2",2015,7,7,42.53787,-70.78437,"Agarum clathratum","random",1,10,NA,2.16666666666667,0.0567443422711521
8,"keen_one",NA,"Baker North",10.1,"Baker North-2015-7-7-2",2015,7,7,42.53787,-70.78437,"Saccharina latissima","random",1,53.75,NA,7,0.431606018793557
9,"keen_one",NA,"Baker North",7.22857142857143,"Baker North-2016-8-2-2",2016,8,2,42.53773,-70.78626,"Agarum clathratum","random",1,NA,NA,0,NA
10,"keen_one",NA,"Baker North",7.22857142857143,"Baker North-2016-8-2-2",2016,8,2,42.53773,-70.78626,"Saccharina latissima","random",1,23.75,NA,5.16666666666667,0.25333839938272
11,"keen_one",NA,"Baker North",8,"Baker North-2017-7-20-2",2017,7,20,42.5379,-70.78578,"Agarum clathratum","random",1,3.75,NA,0.333333333333333,NA
12,"keen_one",NA,"Baker North",8,"Baker North-2017-7-20-2",2017,7,20,42.5379,-70.78578,"Saccharina latissima","random",1,30,NA,10.1666666666667,NA
13,"keen_one",NA,"Baker North",7.45,"Baker North-2014-7-9-3",2014,7,9,42.53696,-70.78384,"Saccharina latissima","random",1,31.25,NA,3.66666666666667,0.182489926369272
14,"keen_one",NA,"Baker North",7.18,"Baker North-2015-7-9-3",2015,7,9,42.53677,-70.78341,"Agarum clathratum","random",1,NA,NA,0,NA
15,"keen_one",NA,"Baker North",7.18,"Baker North-2015-7-9-3",2015,7,9,42.53677,-70.78341,"Saccharina latissima","random",1,2.5,NA,11.3333333333333,0.437746313539645
16,"keen_one",NA,"Baker North",6.7,"Baker North-2016-8-4-3",2016,8,4,42.53625,-70.78327,"Agarum clathratum","random",1,NA,NA,0,NA
17,"keen_one",NA,"Baker North",6.7,"Baker North-2016-8-4-3",2016,8,4,42.53625,-70.78327,"Saccharina latissima","random",1,8.75,NA,1,NA
18,"keen_one",NA,"Baker North",8.46666666666667,"Baker North-2017-7-20-3",2017,7,20,42.5365,-70.78381,"Saccharina latissima","random",1,18.75,NA,7.66666666666667,NA
19,"keen_one",NA,"Baker North",7.9875,"Baker North-2018-7-11-3",2018,7,11,42.322,-70.47036,"Saccharina latissima","random",1,16.25,NA,1.33333333333333,NA
20,"keen_one",NA,"Baker North",7.51666666666667,"Baker North-2014-7-9-4",2014,7,9,42.53495,-70.78127,"Saccharina latissima","random",1,55,NA,7.5,0.542047817372954
21,"keen_one",NA,"Baker North",7.51666666666667,"Baker North-2015-7-10-4",2015,7,10,42.53502,-70.78151,"Agarum clathratum","random",1,NA,NA,0,NA
22,"keen_one",NA,"Baker North",7.51666666666667,"Baker North-2015-7-10-4",2015,7,10,42.53502,-70.78151,"Saccharina latissima","random",1,93.75,NA,15,0.385687428642299
23,"keen_one",NA,"Baker North",7.725,"Baker North-2016-8-4-4",2016,8,4,42.53563,-70.78035,"Agarum clathratum","random",1,NA,NA,0,NA
24,"keen_one",NA,"Baker North",7.725,"Baker North-2016-8-4-4",2016,8,4,42.53563,-70.78035,"Saccharina latissima","random",1,33.75,NA,4,NA
25,"keen_one",NA,"Baker South",7.62,"Baker South-2014-7-11-1",2014,7,11,42.53283,-70.78202,"Saccharina latissima","random",1,35,NA,6.83333333333333,0.198466791383231
