"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1985,9,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,40,40,10
2,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1985,10,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,35,35,9
3,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1985,11,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,34,34,8
4,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1985,12,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,30,30,5.5
5,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,1,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,31,31,3
6,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,2,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,39,39,5
7,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,3,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,22,22,4
8,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,4,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,100,100,12
9,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,5,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,175,175,25
10,"lis_eagan_yarish_ryan_grace","USA","southern_New_England_Long_Island_Sound_Black_Ledge",4,"Egan_&_Yarish__1990-southern New England_ Long Island Sound_ Black Ledge-Saccharina latissima",1986,6,NA,41.30302,-72.086122,"Saccharina latissima","Random",0.25,NA,1000,1000,11
