Entry,Study,Region,Site,Depth.m,Sample.ID,Sample.Year,Sample.Month,Sample.Day,Latitude,Longitude,Taxon,Fixed.or.Random,Sample.Unit.Size.sq.m,Percent.Cover,Stipe.Density.num.per.sq.m,Individual.Density.num.per.sq.m,Biomass.kg.wet.per.sq.m
1,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9702,Ascophyllum nodosum,Random,NA,NA,4,4,1.01
2,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9702,Fucus distichus subsp. edentatus,Random,NA,NA,NA,NA,0
3,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9702,Fucus distichus subsp. evanescens,Random,NA,NA,3,3,0.4
4,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9702,Fucus vesiculosus,Random,NA,NA,NA,NA,0
5,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9695,Ascophyllum nodosum,Random,NA,NA,NA,NA,0
6,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9695,Fucus distichus subsp. edentatus,Random,NA,NA,NA,NA,0
7,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9695,Fucus distichus subsp. evanescens,Random,NA,NA,NA,NA,0
8,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9695,Fucus vesiculosus,Random,NA,NA,NA,NA,0
9,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9688,Ascophyllum nodosum,Random,NA,NA,NA,NA,0
10,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9688,Fucus distichus subsp. edentatus,Random,NA,NA,NA,NA,0
11,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9688,Fucus distichus subsp. evanescens,Random,NA,NA,NA,NA,0
12,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9688,Fucus vesiculosus,Random,NA,NA,3,3,0.18
13,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9682,Ascophyllum nodosum,Random,NA,NA,6,6,1.54
14,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9682,Fucus distichus subsp. edentatus,Random,NA,NA,NA,NA,0
15,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9682,Fucus distichus subsp. evanescens,Random,NA,NA,6,6,0.45
16,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9682,Fucus vesiculosus,Random,NA,NA,NA,NA,0
17,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9675,Ascophyllum nodosum,Random,NA,NA,10,10,2.84
18,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9675,Fucus distichus subsp. edentatus,Random,NA,NA,NA,NA,0
19,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9675,Fucus distichus subsp. evanescens,Random,NA,NA,12,12,0.2
20,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9675,Fucus vesiculosus,Random,NA,NA,37,37,1.29
21,merinov_gosl,Gulf of Saint Lawrence,BAG,NA,BAG-NA-2012-8-28,2012,8,28,48.7743,-68.9668,Ascophyllum nodosum,Random,NA,NA,1,1,0.45
