"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"metaxas_recent","Scotian Shelf","Halibut I",7.5,"Halibut I-7.5-2018-10",2018,10,NA,44.88797,-62.207,"Agarum clathratum","Fixed",0.3125,NA,0,0,NA
2,"metaxas_recent","Scotian Shelf","Halibut I",7.5,"Halibut I-7.5-2018-10",2018,10,NA,44.88797,-62.207,"Alaria esculenta","Fixed",0.3125,NA,0,0,NA
3,"metaxas_recent","Scotian Shelf","Halibut I",7.5,"Halibut I-7.5-2018-10",2018,10,NA,44.88797,-62.207,"Laminaria digitata","Fixed",0.3125,NA,14,14,NA
4,"metaxas_recent","Scotian Shelf","Halibut I",7.5,"Halibut I-7.5-2018-10",2018,10,NA,44.88797,-62.207,"Saccharina latissima","Fixed",0.3125,NA,2.83333333333333,2.83333333333333,NA
5,"metaxas_recent","Scotian Shelf","Halibut I",7.5,"Halibut I-7.5-2018-10",2018,10,NA,44.88797,-62.207,"Saccorhiza dermatodea","Fixed",0.3125,NA,0,0,NA
6,"metaxas_recent","Scotian Shelf","Tuffin I",7.5,"Tuffin I-7.5-2018-10",2018,10,NA,44.9066,-62.15593,"Agarum clathratum","Fixed",0.25,NA,0,0,NA
7,"metaxas_recent","Scotian Shelf","Tuffin I",7.5,"Tuffin I-7.5-2018-10",2018,10,NA,44.9066,-62.15593,"Alaria esculenta","Fixed",0.25,NA,0,0,NA
8,"metaxas_recent","Scotian Shelf","Tuffin I",7.5,"Tuffin I-7.5-2018-10",2018,10,NA,44.9066,-62.15593,"Laminaria digitata","Fixed",0.25,NA,30.9090909090909,30.9090909090909,NA
9,"metaxas_recent","Scotian Shelf","Tuffin I",7.5,"Tuffin I-7.5-2018-10",2018,10,NA,44.9066,-62.15593,"Saccharina latissima","Fixed",0.25,NA,0.727272727272727,0.727272727272727,NA
10,"metaxas_recent","Scotian Shelf","Tuffin I",7.5,"Tuffin I-7.5-2018-10",2018,10,NA,44.9066,-62.15593,"Saccorhiza dermatodea","Fixed",0.25,NA,0,0,NA
11,"metaxas_recent","Scotian Shelf","The Moll",7.5,"The Moll-7.5-2018-10",2018,10,NA,44.92397,-62.23767,"Agarum clathratum","Fixed",0.5,NA,0,0,NA
12,"metaxas_recent","Scotian Shelf","The Moll",7.5,"The Moll-7.5-2018-10",2018,10,NA,44.92397,-62.23767,"Alaria esculenta","Fixed",0.5,NA,0,0,NA
13,"metaxas_recent","Scotian Shelf","The Moll",7.5,"The Moll-7.5-2018-10",2018,10,NA,44.92397,-62.23767,"Laminaria digitata","Fixed",0.5,NA,5.6,5.6,NA
14,"metaxas_recent","Scotian Shelf","The Moll",7.5,"The Moll-7.5-2018-10",2018,10,NA,44.92397,-62.23767,"Saccharina latissima","Fixed",0.5,NA,3.2,3.2,NA
15,"metaxas_recent","Scotian Shelf","The Moll",7.5,"The Moll-7.5-2018-10",2018,10,NA,44.92397,-62.23767,"Saccorhiza dermatodea","Fixed",0.5,NA,0,0,NA
16,"metaxas_recent","Scotian Shelf","Shag Rock",6,"Shag Rock-6-2019-7",2019,7,NA,44.431281,-62.5665,"Agarum clathratum","Fixed",0.5,0,0,0,NA
17,"metaxas_recent","Scotian Shelf","Shag Rock",6,"Shag Rock-6-2019-7",2019,7,NA,44.431281,-62.5665,"Alaria esculenta","Fixed",0.5,0,0,0,NA
18,"metaxas_recent","Scotian Shelf","Shag Rock",6,"Shag Rock-6-2019-7",2019,7,NA,44.431281,-62.5665,"Laminaria digitata","Fixed",0.5,70.5137844611529,23.3333333333333,23.3333333333333,NA
