"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"noisette_antacosti","Gulf of Saint Lawrence","PSO",NA,"PSO-NA-2021-9-1",2021,9,1,49.394833,-63.592408,"Agarum clathratum","Fixed",0.5,NA,3.77777777777778,3.77777777777778,0
2,"noisette_antacosti","Gulf of Saint Lawrence","PSO",NA,"PSO-NA-2021-9-1",2021,9,1,49.394833,-63.592408,"Alaria esculenta","Fixed",0.5,NA,1,1,0
4,"noisette_antacosti","Gulf of Saint Lawrence","PSO",NA,"PSO-NA-2021-9-1",2021,9,1,49.394833,-63.592408,"Laminaria digitata","Fixed",0.5,NA,0.333333333333333,0.333333333333333,0
7,"noisette_antacosti","Gulf of Saint Lawrence","PSO",NA,"PSO-NA-2021-9-1",2021,9,1,49.394833,-63.592408,"Saccharina latissima","Fixed",0.5,NA,12.0277777777778,12.0277777777778,0
9,"noisette_antacosti","Gulf of Saint Lawrence","RL",NA,"RL-NA-2021-9-1",2021,9,1,49.603247,-63.797609,"Agarum clathratum","Fixed",0.5,NA,0,0,0
10,"noisette_antacosti","Gulf of Saint Lawrence","RL",NA,"RL-NA-2021-9-1",2021,9,1,49.603247,-63.797609,"Alaria esculenta","Fixed",0.5,NA,0.5,0.5,0
12,"noisette_antacosti","Gulf of Saint Lawrence","RL",NA,"RL-NA-2021-9-1",2021,9,1,49.603247,-63.797609,"Laminaria digitata","Fixed",0.5,NA,3.66666666666667,3.66666666666667,0
15,"noisette_antacosti","Gulf of Saint Lawrence","RL",NA,"RL-NA-2021-9-1",2021,9,1,49.603247,-63.797609,"Saccharina latissima","Fixed",0.5,NA,3.41666666666667,3.41666666666667,0
17,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2021-9-1",2021,9,1,49.781426,-64.358808,"Agarum clathratum","Fixed",0.5,NA,0,0,0
18,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2021-9-1",2021,9,1,49.781426,-64.358808,"Alaria esculenta","Fixed",0.5,NA,13.5555555555556,13.5555555555556,0.126038741166667
20,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2021-9-1",2021,9,1,49.781426,-64.358808,"Laminaria digitata","Fixed",0.5,NA,0.222222222222222,0.222222222222222,0.015
23,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2021-9-1",2021,9,1,49.781426,-64.358808,"Saccharina latissima","Fixed",0.5,NA,9.11111111111111,9.11111111111111,0.810625
25,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2021-9-1",2021,9,1,49.782592,-64.337332,"Agarum clathratum","Fixed",0.5,NA,0,0,0
26,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2021-9-1",2021,9,1,49.782592,-64.337332,"Alaria esculenta","Fixed",0.5,NA,4.75,4.75,0.0525
28,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2021-9-1",2021,9,1,49.782592,-64.337332,"Laminaria digitata","Fixed",0.5,NA,0.75,0.75,0.0425
31,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2021-9-1",2021,9,1,49.782592,-64.337332,"Saccharina latissima","Fixed",0.5,NA,9,9,1.51
33,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_ouest_1-NA-2021-9-1",2021,9,1,49.783606,-64.407798,"Agarum clathratum","Fixed",0.5,NA,0,0,0
34,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_ouest_1-NA-2021-9-1",2021,9,1,49.783606,-64.407798,"Alaria esculenta","Fixed",0.5,NA,1.33333333333333,1.33333333333333,0.0133333333333333
36,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_ouest_1-NA-2021-9-1",2021,9,1,49.783606,-64.407798,"Laminaria digitata","Fixed",0.5,NA,2.16666666666667,2.16666666666667,1.02666666666667
39,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_ouest_1-NA-2021-9-1",2021,9,1,49.783606,-64.407798,"Saccharina latissima","Fixed",0.5,NA,5.83333333333333,5.83333333333333,0.143385416666667
41,"noisette_antacosti","Gulf of Saint Lawrence","PO",NA,"PO-NA-2021-9-1",2021,9,1,49.866069,-64.529267,"Agarum clathratum","Fixed",0.5,NA,0,0,0
42,"noisette_antacosti","Gulf of Saint Lawrence","PO",NA,"PO-NA-2021-9-1",2021,9,1,49.866069,-64.529267,"Alaria esculenta","Fixed",0.5,NA,5.33333333333333,5.33333333333333,0
44,"noisette_antacosti","Gulf of Saint Lawrence","PO",NA,"PO-NA-2021-9-1",2021,9,1,49.866069,-64.529267,"Laminaria digitata","Fixed",0.5,NA,17.3333333333333,17.3333333333333,0
47,"noisette_antacosti","Gulf of Saint Lawrence","PO",NA,"PO-NA-2021-9-1",2021,9,1,49.866069,-64.529267,"Saccharina latissima","Fixed",0.5,NA,0,0,0
49,"noisette_antacosti","Gulf of Saint Lawrence","PS",NA,"PS-NA-2021-9-1",2021,9,1,49.917103,-64.429945,"Agarum clathratum","Fixed",0.5,NA,0,0,0
50,"noisette_antacosti","Gulf of Saint Lawrence","PS",NA,"PS-NA-2021-9-1",2021,9,1,49.917103,-64.429945,"Alaria esculenta","Fixed",0.5,NA,5.22222222222222,5.22222222222222,0.0777777777777778
52,"noisette_antacosti","Gulf of Saint Lawrence","PS",NA,"PS-NA-2021-9-1",2021,9,1,49.917103,-64.429945,"Laminaria digitata","Fixed",0.5,NA,0,0,0
55,"noisette_antacosti","Gulf of Saint Lawrence","PS",NA,"PS-NA-2021-9-1",2021,9,1,49.917103,-64.429945,"Saccharina latissima","Fixed",0.5,NA,9.88888888888889,9.88888888888889,0.925555555555555
57,"noisette_antacosti","Gulf of Saint Lawrence","PAI_ouest",NA,"PAI_ouest-NA-2022-6-29",2022,6,29,49.777856,-64.36682,"Agarum clathratum","Fixed",0.5,NA,0,0,0
58,"noisette_antacosti","Gulf of Saint Lawrence","PAI_ouest",NA,"PAI_ouest-NA-2022-6-29",2022,6,29,49.777856,-64.36682,"Alaria esculenta","Fixed",0.5,NA,3.37777777777778,3.37777777777778,0.155555555555556
60,"noisette_antacosti","Gulf of Saint Lawrence","PAI_ouest",NA,"PAI_ouest-NA-2022-6-29",2022,6,29,49.777856,-64.36682,"Laminaria digitata","Fixed",0.5,NA,0,0,0
63,"noisette_antacosti","Gulf of Saint Lawrence","PAI_ouest",NA,"PAI_ouest-NA-2022-6-29",2022,6,29,49.777856,-64.36682,"Saccharina latissima","Fixed",0.5,NA,0.0888888888888889,0.0888888888888889,0.00088888888888888
65,"noisette_antacosti","Gulf of Saint Lawrence","CAA_est",NA,"CAA_est-NA-2022-6-30",2022,6,30,49.770419,-64.319298,"Agarum clathratum","Fixed",0.5,NA,0,0,0
66,"noisette_antacosti","Gulf of Saint Lawrence","CAA_est",NA,"CAA_est-NA-2022-6-30",2022,6,30,49.770419,-64.319298,"Alaria esculenta","Fixed",0.5,NA,7.02222222222222,7.02222222222222,0.188444444444444
68,"noisette_antacosti","Gulf of Saint Lawrence","CAA_est",NA,"CAA_est-NA-2022-6-30",2022,6,30,49.770419,-64.319298,"Laminaria digitata","Fixed",0.5,NA,0.888888888888889,0.888888888888889,0.104
71,"noisette_antacosti","Gulf of Saint Lawrence","CAA_est",NA,"CAA_est-NA-2022-6-30",2022,6,30,49.770419,-64.319298,"Saccharina latissima","Fixed",0.5,NA,4.35555555555556,4.35555555555556,0.184888888888889
73,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_est-NA-2022-6-30",2022,6,30,49.783542,-64.399317,"Agarum clathratum","Fixed",0.5,NA,0,0,0
74,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_est-NA-2022-6-30",2022,6,30,49.783542,-64.399317,"Alaria esculenta","Fixed",0.5,NA,0.355555555555556,0.355555555555556,0.0657777777777778
76,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_est-NA-2022-6-30",2022,6,30,49.783542,-64.399317,"Laminaria digitata","Fixed",0.5,NA,0.622222222222222,0.622222222222222,0.142222222222222
79,"noisette_antacosti","Gulf of Saint Lawrence","PB_est",NA,"PB_est-NA-2022-6-30",2022,6,30,49.783542,-64.399317,"Saccharina latissima","Fixed",0.5,NA,4.17777777777778,4.17777777777778,0.776888888888889
81,"noisette_antacosti","Gulf of Saint Lawrence","LaTuque",NA,"LaTuque-NA-2022-7-1",2022,7,1,49.793227,-64.359801,"Agarum clathratum","Fixed",0.5,NA,0,0,0
82,"noisette_antacosti","Gulf of Saint Lawrence","LaTuque",NA,"LaTuque-NA-2022-7-1",2022,7,1,49.793227,-64.359801,"Alaria esculenta","Fixed",0.5,NA,0.0888888888888889,0.0888888888888889,0.00444444444444444
84,"noisette_antacosti","Gulf of Saint Lawrence","LaTuque",NA,"LaTuque-NA-2022-7-1",2022,7,1,49.793227,-64.359801,"Laminaria digitata","Fixed",0.5,NA,0,0,0
87,"noisette_antacosti","Gulf of Saint Lawrence","LaTuque",NA,"LaTuque-NA-2022-7-1",2022,7,1,49.793227,-64.359801,"Saccharina latissima","Fixed",0.5,NA,6.27272727272727,6.27272727272727,0.164977777777778
89,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2022-7-2",2022,7,2,49.781177,-64.357998,"Agarum clathratum","Fixed",0.5,NA,0,0,0
90,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2022-7-2",2022,7,2,49.781177,-64.357998,"Alaria esculenta","Fixed",0.5,NA,11.0222222222222,11.0222222222222,0.2488
92,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2022-7-2",2022,7,2,49.781177,-64.357998,"Laminaria digitata","Fixed",0.5,NA,0,0,0
95,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI_est-NA-2022-7-2",2022,7,2,49.781177,-64.357998,"Saccharina latissima","Fixed",0.5,NA,0.533333333333333,0.533333333333333,0.0990222222222223
97,"noisette_antacosti","Gulf of Saint Lawrence","BigBlue",NA,"BigBlue-NA-2022-7-5",2022,7,5,49.787874,-64.355789,"Agarum clathratum","Fixed",0.5,NA,4.35555555555556,4.35555555555556,0.0464
98,"noisette_antacosti","Gulf of Saint Lawrence","BigBlue",NA,"BigBlue-NA-2022-7-5",2022,7,5,49.787874,-64.355789,"Alaria esculenta","Fixed",0.5,NA,0.533333333333333,0.533333333333333,0.0133333333333333
100,"noisette_antacosti","Gulf of Saint Lawrence","BigBlue",NA,"BigBlue-NA-2022-7-5",2022,7,5,49.787874,-64.355789,"Laminaria digitata","Fixed",0.5,NA,0,0,0
103,"noisette_antacosti","Gulf of Saint Lawrence","BigBlue",NA,"BigBlue-NA-2022-7-5",2022,7,5,49.787874,-64.355789,"Saccharina latissima","Fixed",0.5,NA,0,0,0
105,"noisette_antacosti","Gulf of Saint Lawrence","Gamache",NA,"Gamache-NA-2022-7-6",2022,7,6,49.792872,-64.339554,"Agarum clathratum","Fixed",0.5,NA,1.42222222222222,1.42222222222222,0.0986666666666667
106,"noisette_antacosti","Gulf of Saint Lawrence","Gamache",NA,"Gamache-NA-2022-7-6",2022,7,6,49.792872,-64.339554,"Alaria esculenta","Fixed",0.5,NA,0.8,0.8,0.0391111111111111
108,"noisette_antacosti","Gulf of Saint Lawrence","Gamache",NA,"Gamache-NA-2022-7-6",2022,7,6,49.792872,-64.339554,"Laminaria digitata","Fixed",0.5,NA,0,0,0
111,"noisette_antacosti","Gulf of Saint Lawrence","Gamache",NA,"Gamache-NA-2022-7-6",2022,7,6,49.792872,-64.339554,"Saccharina latissima","Fixed",0.5,NA,10.4,10.4,0.509244444444444
113,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_3-NA-2022-7-7",2022,7,7,49.781709,-64.342253,"Agarum clathratum","Fixed",0.5,NA,1.51111111111111,1.51111111111111,0.0182222222222222
114,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_3-NA-2022-7-7",2022,7,7,49.781709,-64.342253,"Alaria esculenta","Fixed",0.5,NA,3.91111111111111,3.91111111111111,0.0706666666666667
116,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_3-NA-2022-7-7",2022,7,7,49.781709,-64.342253,"Laminaria digitata","Fixed",0.5,NA,0,0,0
119,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_3-NA-2022-7-7",2022,7,7,49.781709,-64.342253,"Saccharina latissima","Fixed",0.5,NA,0,0,0
121,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2022-7-8",2022,7,8,49.782619,-64.338588,"Agarum clathratum","Fixed",0.5,NA,0.533333333333333,0.533333333333333,0.00924444444444445
122,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2022-7-8",2022,7,8,49.782619,-64.338588,"Alaria esculenta","Fixed",0.5,NA,13.4222222222222,13.4222222222222,0.229955555555556
124,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2022-7-8",2022,7,8,49.782619,-64.338588,"Laminaria digitata","Fixed",0.5,NA,0.444444444444444,0.444444444444444,0.0644444444444445
127,"noisette_antacosti","Gulf of Saint Lawrence","CAA_ouest_13",NA,"CAA_ouest_1-NA-2022-7-8",2022,7,8,49.782619,-64.338588,"Saccharina latissima","Fixed",0.5,NA,5.42222222222222,5.42222222222222,0.187822222222222
129,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78014933,-64.36069682,"Agarum clathratum","Fixed",0.5,NA,5,5,0.0015
130,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78014933,-64.36069682,"Alaria esculenta","Fixed",0.5,NA,16,16,0.2771
132,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78014933,-64.36069682,"Laminaria digitata","Fixed",0.5,NA,0,0,0
135,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78014933,-64.36069682,"Saccharina latissima","Fixed",0.5,NA,0,0,0
137,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.780239,-64.36089441,"Agarum clathratum","Fixed",0.5,NA,0.8,0.8,0.00016
138,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.780239,-64.36089441,"Alaria esculenta","Fixed",0.5,NA,9.6,9.6,0.08936
140,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.780239,-64.36089441,"Laminaria digitata","Fixed",0.5,NA,0,0,0
143,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.780239,-64.36089441,"Saccharina latissima","Fixed",0.5,NA,6.4,6.4,0.10096
145,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78025797,-64.36058426,"Agarum clathratum","Fixed",0.5,NA,0,0,0
146,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78025797,-64.36058426,"Alaria esculenta","Fixed",0.5,NA,14,14,0.1125
148,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78025797,-64.36058426,"Laminaria digitata","Fixed",0.5,NA,0,0,0
151,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78025797,-64.36058426,"Saccharina latissima","Fixed",0.5,NA,2,2,0.0097
153,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78032867,-64.361092,"Agarum clathratum","Fixed",0.5,NA,0,0,0
154,"noisette_antacosti","Gulf of Saint Lawrence","PAI_est",NA,"PAI-est-NA-2023-8-16",2023,8,16,49.78032867,-64.361092,"Alaria esculenta","Fixed",0.5,NA,9,9,0.0605
