"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"seabrook",NA,31,9.4,"31-9.4-1978-4",1978,4,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,1.169,NA
2,"seabrook",NA,31,9.4,"31-9.4-1978-4",1978,4,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,0.1336,NA
3,"seabrook",NA,31,9.4,"31-9.4-1978-4",1978,4,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,2.3714,NA
4,"seabrook",NA,31,9.4,"31-9.4-1978-4",1978,4,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,0.4175,NA
5,"seabrook",NA,31,9.4,"31-9.4-1978-7",1978,7,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,1.4529,NA
6,"seabrook",NA,31,9.4,"31-9.4-1978-7",1978,7,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,0.4175,NA
7,"seabrook",NA,31,9.4,"31-9.4-1978-7",1978,7,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,3.006,NA
8,"seabrook",NA,31,9.4,"31-9.4-1978-7",1978,7,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,0.3507,NA
9,"seabrook",NA,31,9.4,"31-9.4-1978-11",1978,11,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,1.6533,NA
10,"seabrook",NA,31,9.4,"31-9.4-1978-11",1978,11,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,0.7014,NA
11,"seabrook",NA,31,9.4,"31-9.4-1978-11",1978,11,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,4.4088,NA
12,"seabrook",NA,31,9.4,"31-9.4-1978-11",1978,11,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,0.4843,NA
13,"seabrook",NA,31,9.4,"31-9.4-1979-4",1979,4,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,1.169,NA
14,"seabrook",NA,31,9.4,"31-9.4-1979-4",1979,4,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,0.5511,NA
15,"seabrook",NA,31,9.4,"31-9.4-1979-4",1979,4,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,3.5738,NA
16,"seabrook",NA,31,9.4,"31-9.4-1979-4",1979,4,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,1.67,NA
17,"seabrook",NA,31,9.4,"31-9.4-1979-7",1979,7,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,3.4986,NA
18,"seabrook",NA,31,9.4,"31-9.4-1979-7",1979,7,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,0.3808,NA
19,"seabrook",NA,31,9.4,"31-9.4-1979-7",1979,7,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,4.6886,NA
20,"seabrook",NA,31,9.4,"31-9.4-1979-7",1979,7,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,1.5946,NA
21,"seabrook",NA,31,9.4,"31-9.4-1979-11",1979,11,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,7.7469,NA
22,"seabrook",NA,31,9.4,"31-9.4-1979-11",1979,11,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,1.0948,NA
23,"seabrook",NA,31,9.4,"31-9.4-1979-11",1979,11,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,10.2816,NA
24,"seabrook",NA,31,9.4,"31-9.4-1979-11",1979,11,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,1.2852,NA
25,"seabrook",NA,31,9.4,"31-9.4-1980-4",1980,4,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,4.7481,NA
26,"seabrook",NA,31,9.4,"31-9.4-1980-4",1980,4,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,1.8802,NA
27,"seabrook",NA,31,9.4,"31-9.4-1980-4",1980,4,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,7.2828,NA
28,"seabrook",NA,31,9.4,"31-9.4-1980-4",1980,4,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,2.38,NA
29,"seabrook",NA,31,9.4,"31-9.4-1980-7",1980,7,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,7.5803,NA
30,"seabrook",NA,31,9.4,"31-9.4-1980-7",1980,7,NA,42.968101,-70.749777,"Alaria esculenta","random",1,NA,NA,1.0948,NA
31,"seabrook",NA,31,9.4,"31-9.4-1980-7",1980,7,NA,42.968101,-70.749777,"Laminaria digitata","random",1,NA,NA,10.6862,NA
32,"seabrook",NA,31,9.4,"31-9.4-1980-7",1980,7,NA,42.968101,-70.749777,"Saccharina latissima","random",1,NA,NA,1.785,NA
33,"seabrook",NA,31,9.4,"31-9.4-1980-10",1980,10,NA,42.968101,-70.749777,"Agarum clathratum","random",1,NA,NA,5.2479,NA
