"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 1",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
2,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 2",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,4,NA,NA,NA
3,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 3",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,27,NA,NA,NA
4,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 4",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,22,NA,NA,NA
5,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 5",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,24,NA,NA,NA
6,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 6",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,45,NA,NA,NA
7,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 7",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,14,NA,NA,NA
8,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 8",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,8,NA,NA,NA
9,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 9",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,17,NA,NA,NA
10,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 10",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,21,NA,NA,NA
11,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 11",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
12,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 12",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,55,NA,NA,NA
13,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 13",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,25,NA,NA,NA
14,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 14",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
15,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 15",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
16,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 16",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,40,NA,NA,NA
17,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 17",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,80,NA,NA,NA
18,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 18",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
19,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 19",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,25,NA,NA,NA
20,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 20",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,45,NA,NA,NA
21,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 21",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
22,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 22",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,25,NA,NA,NA
23,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 23",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
24,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 24",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,80,NA,NA,NA
25,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 25",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,90,NA,NA,NA
26,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 26",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
27,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 27",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
28,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 28",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,0,NA,NA,NA
29,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 29",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
30,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 30",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,40,NA,NA,NA
31,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 31",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
32,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 32",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,0,NA,NA,NA
33,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 33",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,10,NA,NA,NA
34,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 34",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
35,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 35",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,15,NA,NA,NA
36,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 36",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,5,NA,NA,NA
37,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 37",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,0,NA,NA,NA
38,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 38",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,40,NA,NA,NA
39,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 39",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,60,NA,NA,NA
40,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 40",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
41,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 41",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,30,NA,NA,NA
42,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 42",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,60,NA,NA,NA
43,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 43",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
44,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 44",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,80,NA,NA,NA
45,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 45",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
46,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 46",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
47,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 47",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,40,NA,NA,NA
48,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 48",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,40,NA,NA,NA
49,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 49",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
50,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 50",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
51,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 51",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,20,NA,NA,NA
52,"steneck_gom",NA,"Jonesport - browney",10,"Jonesport - browney 52",1996,8,1,44.463898,-67.624035,"Agarum clathratum","Random",1,50,NA,NA,NA
53,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 1",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
54,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 2",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
55,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 3",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
56,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 4",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
57,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 5",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
58,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 6",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
59,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 7",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
60,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 8",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
61,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 9",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
62,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 10",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
63,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 11",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
64,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 12",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
65,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 13",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
66,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 14",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
67,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 15",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
68,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 16",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
69,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 17",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
70,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 18",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
71,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 19",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
72,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 20",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
73,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 21",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
74,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 22",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
75,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 23",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
76,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 24",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
77,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 25",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
78,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 26",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
79,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 27",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
80,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 28",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
81,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 29",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
82,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 30",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
83,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 31",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
84,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 32",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
85,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 33",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
86,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 34",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
87,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 35",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
88,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 36",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
89,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 37",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
90,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 38",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
91,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 39",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
92,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 40",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
93,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 41",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
94,"steneck_gom",NA,"Jonesport - outer ram",10,"Jonesport - outer ram 42",1996,8,1,44.4916667,-67.6366667,"Agarum clathratum","Random",1,0,NA,NA,NA
