"Entry","Study","Region","Site","Depth.m","Sample.ID","Sample.Year","Sample.Month","Sample.Day","Latitude","Longitude","Taxon","Fixed.or.Random","Sample.Unit.Size.sq.m","Percent.Cover","Stipe.Density.num.per.sq.m","Individual.Density.num.per.sq.m","Biomass.kg.wet.per.sq.m"
1,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-2-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
2,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-3-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
3,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-4-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
4,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-5-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
5,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-6-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
6,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-7-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
7,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-8-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
8,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-9-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
9,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-10-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
10,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-11-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
11,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-12-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
12,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-13-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
13,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-14-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
14,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-15-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
15,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-16-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
16,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-17-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
17,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-18-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
18,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-19-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
19,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-20-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
20,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-21-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
21,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-22-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
22,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-23-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
23,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-24-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
24,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-25-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
25,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-26-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
26,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-27-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
27,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-28-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
28,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-29-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
29,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-31-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
30,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-32-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
31,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-33-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
32,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-34-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
33,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-35-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
34,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-36-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,2,2,NA
35,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-37-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
36,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-38-1997-06-01",1997,6,1,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
37,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-1-1996-07-17",1996,7,17,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
38,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-2-1996-07-17",1996,7,17,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,1,1,NA
39,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-3-1996-07-17",1996,7,17,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,4,4,NA
40,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-4-1996-07-17",1996,7,17,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,0,0,NA
41,"witman_gom",NA,"Kennebunk Ledge",10,"Kennebunk Ledge-5-1996-07-17",1996,7,17,43.653528,-70.223764,"Alaria esculenta","Random",0.25,NA,2,2,NA
