study,site,sample_year,sample_month,latitude,longitude,sample_unit_size_sq_m,sasdate,max_depth,mean_depth,min_depth,biomass_kg_wet_per_sq_m,stipe_density_num_per_sq_m,individual_density_num_per_sq_m,percent_cover,has_bm,has_sd,has_id,has_pc,use_which,focalKelp,focalUnit,geometry,ecoregion,province,realm,focal_std_by_ecoregion,focal_std_by_province,focal_std_by_realm,focal_std_by_all,ln_focal_std_by_ecoregion,ln_focal_std_by_province,ln_focal_std_by_realm,ln_focal_std_by_all,date,month,year,year_f,year_c,trajectory,n_per_trajectory
dmr_rasher_steneck,10_1_23,2008,6,44.29333,-68.43279,1,2008-06-02,10,10,10,NA,NA,NA,37.5,54,0,0,2952,4,37.5,percent_cover,"c(-68.43279, 44.29333)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.34103827207275483,0.32685311883607565,0.32685311883607565,0.32685311883607565,-1.0468600242160837,-1.088108292790735,-1.088108292790735,-1.088108292790735,2008-06-02,6,2008,2008,-2.55294358135734,dmr_rasher_steneck 10_1_23,3
dmr_rasher_steneck,10_1_23,2011,6,44.29782,-68.43277,1,2011-06-01,10,10,10,NA,NA,NA,1.5,54,0,0,2952,4,1.5,percent_cover,"c(-68.43277, 44.29782)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.013641530882910194,0.013074124753443026,0.013074124753443026,0.013074124753443026,-3.744750330380629,-3.7690434298242796,-3.7690434298242796,-3.7690434298242796,2011-06-01,6,2011,2011,0.44705641864266,dmr_rasher_steneck 10_1_23,3
dmr_rasher_steneck,10_1_23,2014,5,44.2933,-68.4275,1,2014-05-26,10,10,10,NA,NA,NA,1,54,0,0,2952,4,1,percent_cover,"c(-68.4275, 44.2933)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.00909435392194013,0.008716083168962017,0.008716083168962017,0.008716083168962017,-3.958362593810817,-3.9783720622520917,-3.9783720622520917,-3.9783720622520917,2014-05-26,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_1_23,3
dmr_rasher_steneck,10_1_27,2009,5,44.32727,-68.31394,1,2009-05-26,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.31394, 44.32727)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2009-05-26,5,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_1_27,3
dmr_rasher_steneck,10_1_27,2010,5,44.333,-68.306004,1,2010-05-21,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.306004, 44.333)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2010-05-21,5,2010,2010,-0.55294358135734,dmr_rasher_steneck 10_1_27,3
dmr_rasher_steneck,10_1_27,2014,5,44.333,-68.306,1,2014-05-27,10,10,10,NA,NA,NA,0,54,0,0,2952,4,0,percent_cover,"c(-68.306, 44.333)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0,0,0,0,-4.605170185988091,-4.605170185988091,-4.605170185988091,-4.605170185988091,2014-05-27,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_1_27,3
dmr_rasher_steneck,10_2_102,2006,5,43.9116,-69.3146,1,2006-05-16,10,10,10,NA,NA,NA,65.5,54,0,0,2952,4,65.5,percent_cover,"c(-69.3146, 43.9116)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.5956801818870785,0.5709034475670121,0.5709034475670121,0.5709034475670121,-0.5014031848848616,-0.54317071912949,-0.54317071912949,-0.54317071912949,2006-05-16,5,2006,2006,-4.55294358135734,dmr_rasher_steneck 10_2_102,4
dmr_rasher_steneck,10_2_102,2011,5,43.91941,-69.30907,1,2011-05-11,10,10,10,NA,NA,NA,37.5,54,0,0,2952,4,37.5,percent_cover,"c(-69.30907, 43.91941)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.34103827207275483,0.32685311883607565,0.32685311883607565,0.32685311883607565,-1.0468600242160837,-1.088108292790735,-1.088108292790735,-1.088108292790735,2011-05-11,5,2011,2011,0.44705641864266,dmr_rasher_steneck 10_2_102,4
dmr_rasher_steneck,10_2_102,2014,5,43.9194,-69.3091,1,2014-05-08,10,10,10,NA,NA,NA,52.5,54,0,0,2952,4,52.5,percent_cover,"c(-69.3091, 43.9194)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.4774535809018568,0.4575943663705059,0.4575943663705059,0.4575943663705059,-0.7185602117406776,-0.7601540974240681,-0.7601540974240681,-0.7601540974240681,2014-05-08,5,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_102,4
dmr_rasher_steneck,10_2_102,2018,5,43.9196,-69.3146,1,2018-05-10,10,10,10,NA,NA,NA,13.5,54,0,0,2952,4,13.5,percent_cover,"c(-69.3146, 43.9196)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.12277377794619175,0.11766712278098723,0.11766712278098723,0.11766712278098723,-2.0191085166611127,-2.0583290057789547,-2.0583290057789547,-2.0583290057789547,2018-05-10,5,2018,2018,7.44705641864266,dmr_rasher_steneck 10_2_102,4
dmr_rasher_steneck,10_2_114,2006,6,44.5513,-67.5636,1,2006-06-30,10,10,10,NA,NA,NA,7,54,0,0,2952,4,7,percent_cover,"c(-67.5636, 44.5513)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.0636604774535809,0.061012582182734115,0.061012582182734115,0.061012582182734115,-2.6082888861293028,-2.644898203800014,-2.644898203800014,-2.644898203800014,2006-06-30,6,2006,2006,-4.55294358135734,dmr_rasher_steneck 10_2_114,4
dmr_rasher_steneck,10_2_114,2009,6,44.54756,-67.56276,1,2009-06-10,10,10,10,NA,NA,NA,1.5,54,0,0,2952,4,1.5,percent_cover,"c(-67.56276, 44.54756)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.013641530882910194,0.013074124753443026,0.013074124753443026,0.013074124753443026,-3.744750330380629,-3.7690434298242796,-3.7690434298242796,-3.7690434298242796,2009-06-10,6,2009,2009,-1.55294358135734,dmr_rasher_steneck 10_2_114,4
dmr_rasher_steneck,10_2_114,2012,6,44.54572,-67.5553,1,2012-06-12,10,10,10,NA,NA,NA,3.5,54,0,0,2952,4,3.5,percent_cover,"c(-67.5553, 44.54572)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.03183023872679045,0.030506291091367058,0.030506291091367058,0.030506291091367058,-3.1741357864730637,-3.2062979813436567,-3.2062979813436567,-3.2062979813436567,2012-06-12,6,2012,2012,1.44705641864266,dmr_rasher_steneck 10_2_114,4
dmr_rasher_steneck,10_2_114,2014,6,44.5457,-67.5554,1,2014-06-10,10,10,10,NA,NA,NA,14,54,0,0,2952,4,14,percent_cover,"c(-67.5554, 44.5457)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.1273209549071618,0.12202516436546823,0.12202516436546823,0.12202516436546823,-1.9854343565342008,-2.0247627354327613,-2.0247627354327613,-2.0247627354327613,2014-06-10,6,2014,2014,3.44705641864266,dmr_rasher_steneck 10_2_114,4
dmr_rasher_steneck,10_2_115,2006,7,44.6472,-67.3317,1,2006-07-01,10,10,10,NA,NA,NA,2.5,54,0,0,2952,4,2.5,percent_cover,"c(-67.3317, 44.6472)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.022735884804850323,0.021790207922405044,0.021790207922405044,0.021790207922405044,-3.419283408132531,-3.4485969635836446,-3.4485969635836446,-3.4485969635836446,2006-07-01,7,2006,2006,-4.55294358135734,dmr_rasher_steneck 10_2_115,4
dmr_rasher_steneck,10_2_115,2010,6,44.651207,-67.327633,1,2010-06-10,10,10,10,NA,NA,NA,11.5,54,0,0,2952,4,11.5,percent_cover,"c(-67.327633, 44.651207)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.10458507010231148,0.1002349564430632,0.1002349564430632,0.1002349564430632,-2.166437761527799,-2.2051412234612866,-2.2051412234612866,-2.2051412234612866,2010-06-10,6,2010,2010,-0.55294358135734,dmr_rasher_steneck 10_2_115,4
dmr_rasher_steneck,10_2_115,2012,6,44.65176,-67.3328,1,2012-06-20,10,10,10,NA,NA,NA,2,54,0,0,2952,4,2,percent_cover,"c(-67.3328, 44.65176)",Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,0.01818870784388026,0.017432166337924035,0.017432166337924035,0.017432166337924035,-3.568833812300074,-3.5960390001943767,-3.5960390001943767,-3.5960390001943767,2012-06-20,6,2012,2012,1.44705641864266,dmr_rasher_steneck 10_2_115,4
