X,study_ID,Study,Site,Latitude,Longitude,max_Depth,mean_Depth,min_Depth,trajectory_ID,sample_size,sample_unit_size_sq_m,year,period,rawDate,sasDate,biomass_KG_wet_per_sq_m,Stipe_Density_num_per_sq_m,individual_per_sq_m,percent_cover,biomass_KG_wet_per_sq_m_STD,Stipe_Density_num_per_sq_m_STD,individual_per_sq_m_STD,percent_cover_STD,focalKelp,focalKelp_STD,focalUnit,elapsed,ROC,len,ECOREGION,PROVINCE,REALM,StudySite,Date,DaysSince1900,YearsSince1900,Decade,stdByECOREGION,stdByECOREGIONZ,ln_stdByECOREGION,stdByREALM,stdByREALMZ,ln_stdByREALM,stdByPROVINCE,stdByPROVINCEZ,ln_stdByPROVINCE,realLatByRealm,num_years,ProvinceSite,EcoregionSite,julian,meanjul,SiteN,StudyN,ProvinceN,EcoregionN
6019,13,Keats_etal_1985,Conception Bay,46.666667,-52.833333,4,4,4,48,1,0.1,1979,1,7135,1979-07-15,0.7366,NA,NA,NA,NA,NA,NA,NA,0.7366,NA,4,NA,NA,5,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Keats_etal_1985-Conception Bay-13-48,19790715,29049,79.5318275154004,1970,0.164598692923403,0.342639087937085,-0.946605478082193,0.164598692923403,0.526646660347715,-0.946605478082193,0.164598692923403,0.526646660347715,-0.946605478082193,0,4,Arctic:Conception Bay,Northern Grand Banks - Southern Labrador:Conception Bay,3482,4212.8,263,27,2,22
6020,13,Keats_etal_1985,Conception Bay,46.666667,-52.833333,4,4,4,48,1,0.1,1980,2,7501,1980-07-15,2.42508,NA,NA,NA,NA,NA,NA,NA,2.42508,NA,4,366,1.1891330369,5,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Keats_etal_1985-Conception Bay-13-48,19800715,29415,80.5338809034908,1980,0.541901979683257,1.12805756092108,-0.267409827620964,0.541901979683257,1.73385865201743,-0.267409827620964,0.541901979683257,1.73385865201743,-0.267409827620964,0,4,Arctic:Conception Bay,Northern Grand Banks - Southern Labrador:Conception Bay,3848,4212.8,263,27,2,22
6021,13,Keats_etal_1985,Conception Bay,46.666667,-52.833333,4,4,4,48,1,0.1,1981,3,7866,1981-07-15,5.1893,NA,NA,NA,NA,NA,NA,NA,5.1893,NA,4,365,0.7612553507,5,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Keats_etal_1985-Conception Bay-13-48,19810715,29780,81.533196440794,1980,1.15958728914936,2.41387051185435,0.324287337953272,1.15958728914936,3.71019211857507,0.324287337953272,1.15958728914936,3.71019211857507,0.324287337953272,0,4,Arctic:Conception Bay,Northern Grand Banks - Southern Labrador:Conception Bay,4213,4212.8,263,27,2,22
6022,13,Keats_etal_1985,Conception Bay,46.666667,-52.833333,4,4,4,48,1,0.1,1982,4,8231,1982-07-15,5.811,NA,NA,NA,NA,NA,NA,NA,5.811,NA,4,365,0.1132313624,5,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Keats_etal_1985-Conception Bay-13-48,19820715,30145,82.5325119780972,1980,1.29851073116739,2.70306236763834,0.420004295532581,1.29851073116739,4.15468876361739,0.420004295532581,1.29851073116739,4.15468876361739,0.420004295532581,0,4,Arctic:Conception Bay,Northern Grand Banks - Southern Labrador:Conception Bay,4578,4212.8,263,27,2,22
6023,13,Keats_etal_1985,Conception Bay,46.666667,-52.833333,4,4,4,48,1,0.1,1983,5,8596,1983-07-15,2.1682,NA,NA,NA,NA,NA,NA,NA,2.1682,NA,4,365,-0.986530586,5,Northern Grand Banks - Southern Labrador,Arctic,Arctic,Keats_etal_1985-Conception Bay-13-48,19830715,30510,83.5318275154004,1980,0.484500252506819,1.00856648176105,-0.345371053453987,0.484500252506819,1.55019724269063,-0.345371053453987,0.484500252506819,1.55019724269063,-0.345371053453987,0,4,Arctic:Conception Bay,Northern Grand Banks - Southern Labrador:Conception Bay,4943,4212.8,263,27,2,22
8660,28,steneck_gom,Jonesport - little drisco,44.4833333,-67.663333,10,10,10,2,24,1,1999,1,14457,1999-08-01,NA,NA,NA,28.5,NA,NA,NA,23.47432,28.5,23.474315288,1,NA,NA,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - little drisco-28-2,19990801,36371,99.5783709787817,1990,0.487703825521187,1.63594091728967,-0.683560796220831,0.105555555555556,0.61676189965048,-2.2140316956526,0.373362445414847,1.42257681264695,-0.950719451540356,3.1803133,4,Cold Temperate Northwest Atlantic:Jonesport - little drisco,Gulf of Maine/Bay of Fundy:Jonesport - little drisco,10804,11534.8,822,61,5,10
8661,28,steneck_gom,Jonesport - little drisco,44.4833333,-67.663333,10,10,10,2,32,1,2000,2,14823,2000-08-01,NA,NA,NA,26.75,NA,NA,NA,20.11419,26.75,20.114190144,1,366,-0.063239758,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - little drisco-28-2,20000801,36737,100.580424366872,2000,0.457757099392693,1.53548840482452,-0.744715219374162,0.0990740740740741,0.578890554935099,-2.27518611880593,0.350436681222707,1.33522560485284,-1.01187387469369,3.1803133,4,Cold Temperate Northwest Atlantic:Jonesport - little drisco,Gulf of Maine/Bay of Fundy:Jonesport - little drisco,11170,11534.8,822,61,5,10
8662,28,steneck_gom,Jonesport - little drisco,44.4833333,-67.663333,10,10,10,2,30,1,2001,3,15188,2001-08-01,NA,NA,NA,49.43333,NA,NA,NA,28.70622,49.433333333,28.706221041,1,365,0.6145110971,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - little drisco-28-2,20010801,37102,101.579739904175,2000,0.845923711395372,2.83754430447278,-0.147298727447014,0.183086419751852,1.06977531833391,-1.67776962687878,0.647598253270742,2.46746364110083,-0.414457382766539,3.1803133,4,Cold Temperate Northwest Atlantic:Jonesport - little drisco,Gulf of Maine/Bay of Fundy:Jonesport - little drisco,11535,11534.8,822,61,5,10
8663,28,steneck_gom,Jonesport - little drisco,44.4833333,-67.663333,10,10,10,2,24,1,2002,4,15553,2002-08-01,NA,NA,NA,46.125,NA,NA,NA,23.22351,46.125,23.223512261,1,365,-0.069317303,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - little drisco-28-2,20020801,37467,102.579055441478,2000,0.789310138672447,2.64764122140302,-0.21514741379843,0.170833333333333,0.998180442855382,-1.7456183132302,0.604257641921397,2.30232826257336,-0.482306069117955,3.1803133,4,Cold Temperate Northwest Atlantic:Jonesport - little drisco,Gulf of Maine/Bay of Fundy:Jonesport - little drisco,11900,11534.8,822,61,5,10
8664,28,steneck_gom,Jonesport - little drisco,44.4833333,-67.663333,10,10,10,2,29,1,2003,5,15918,2003-08-01,NA,NA,NA,32.93103,NA,NA,NA,31.09884,32.931034483,31.098841313,1,365,-0.337170372,5,Gulf of Maine/Bay of Fundy,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,steneck_gom-Jonesport - little drisco-28-2,20030801,37832,103.578370978782,2000,0.563529526165937,1.89028865822515,-0.543620992493712,0.121966794381481,0.71265289070844,-2.07409189192548,0.431410932091703,1.64375179199976,-0.810779647813237,3.1803133,4,Cold Temperate Northwest Atlantic:Jonesport - little drisco,Gulf of Maine/Bay of Fundy:Jonesport - little drisco,12265,11534.8,822,61,5,10
