latitude,longitude,min_year,max_year
41.30302,-72.086122,1985,1987
41.450199999999995,-71.33848,2019,2019
41.450795,-71.33143,2019,2019
41.451,-71.313,1980,2018
41.476,-71.357,1980,2018
41.4770646044823,-71.36499603512735,2016,2016
41.4770930220363,-71.36499603443934,2017,2017
41.4771625,-71.3649763888888,2018,2018
41.4773986111111,-71.36290972222216,2019,2019
41.4774972222222,-71.3594166666666,2018,2018
41.4777983076676,-71.3605790080763,2016,2016
41.4778265132492,-71.3605790073976,2017,2017
41.478,-71.362,1980,2018
41.4781861111111,-71.3616694444444,2018,2018
41.47823472,-71.35983055499995,2019,2019
41.47833333,-71.36027778,2019,2019
42.31792,-70.47157,2018,2018
42.31831,-70.4707,2018,2018
42.31937,-70.46893,2018,2018
42.322,-70.47036,2018,2018
42.3227,-70.47183,2018,2018
42.326845,-70.891005,2017,2017
42.3269,-70.888444,2016,2016
42.326938,-70.890339,2016,2016
42.327162,-70.891487,2016,2016
42.3271982464939,-70.89031194336705,2015,2015
42.327512567862854,-70.8901525614783,2015,2015
42.328099,-70.888049,2016,2016
42.328328,-70.889055,2014,2014
42.338275,-70.913095,2006,2007
42.338285,-70.91209,2006,2016
42.33835448275862,-70.91232982758622,2019,2020
42.3383575,-70.91286,2007,2007
42.33835962962963,-70.9123475925926,2021,2021
42.3383598275862,-70.91234827586207,2015,2015
42.3383625,-70.91235750000001,2009,2018
42.33837111111111,-70.91238722222222,2010,2010
42.338388333333334,-70.91244666666667,2012,2012
42.338427599999996,-70.9125822,2017,2017
42.33843088235294,-70.91259352941177,2014,2014
42.33844,-70.912625,2006,2019
42.340155,-70.89377,2016,2016
42.34119,-70.892685,2017,2017
42.34147996176026,-70.89328496251255,2015,2015
42.34224,-70.907035,2006,2007
42.342275,-70.891011,2016,2016
42.342945,-70.90664,2006,2008
42.34298,-70.907045,2006,2018
42.343055,-70.90729,2007,2007
42.34315,-70.90753,2007,2007
42.34316857142857,-70.90702357142857,2007,2007
42.34321333333333,-70.90691305555555,2007,2007
42.34338911764706,-70.90624588235293,2007,2007
42.34342,-70.906995,2006,2006
42.3434225,-70.90696750000001,2007,2007
42.34343740740741,-70.90695111111111,2010,2010
42.343455,-70.9069475,2020,2020
42.34347032258064,-70.90694435483871,2016,2016
42.343504137931035,-70.9069374137931,2012,2012
42.34352285714286,-70.90693357142857,2015,2015
42.343535,-70.907135,2006,2007
42.343562258064516,-70.90692548387096,2021,2021
42.3436024137931,-70.90691724137932,2019,2019
42.343695,-70.906405,2006,2014
42.3437,-70.90597,2006,2007
42.343742,-70.90649400000001,2008,2008
42.34379571428571,-70.90659571428571,2017,2017
42.343802,-70.8912,2016,2016
42.34382,-70.90657,2006,2008
42.3439,-70.90677363636364,2007,2007
42.34393,-70.90685,2006,2018
42.344483333333336,-70.893265,2014,2014
42.344665,-70.89315500000001,2017,2017
42.345715,-70.89132,2016,2016
42.416245,-70.90719,2015,2015
42.416375,-70.90716,2018,2018
42.418383250000005,-70.90703500000001,2017,2017
42.41904,-70.90697,2019,2019
42.42038,-70.90422,2015,2015
42.42067,-70.906615,2018,2018
42.42091,-70.90651,2016,2016
42.42101,-70.90135,2015,2015
42.502633,-70.774833,1997,2000
42.53066,-70.78569,2014,2014
42.531355,-70.78394499999999,2017,2017
42.53159,-70.78199,2017,2017
42.53191,-70.783185,2015,2015
42.5319705,-70.78454475,2016,2016
42.53225,-70.782655,2014,2014
42.53502,-70.78151,2015,2015
42.53594,-70.78181000000001,2016,2016
42.535955,-70.782555,2014,2014
42.53677,-70.78341,2015,2015
42.5372,-70.784795,2017,2017
42.53761,-70.785875,2016,2016
42.53774,-70.7857,2014,2014
42.53781,-70.78767,2017,2017
42.53787,-70.78437,2015,2015
42.75982966666667,-70.61122666666667,2021,2021
42.89058,-68.94351,2014,2016
42.892011,-70.808254,1978,2011
42.959502,-70.768589,1982,2021
42.967719072165,-70.6256745998415,1998,2012
42.968101,-70.749777,1978,2021
42.9737757731959,-70.6163436755105,1977,2015
42.975744,-70.616525,1979,2014
42.9842899180948,-70.618179962039,2015,2015
42.98434,-70.61806,2017,2017
42.984505,-70.61845500000001,2021,2021
42.9847199935,-70.618676003,2014,2014
42.98476,-70.61877000000001,2019,2019
42.985323333333334,-70.61940333333334,2017,2017
42.985661994,-70.61969302150001,2014,2014
42.9859418235719,-70.6199330370873,2015,2015
42.98634833333333,-70.61931,2016,2016
42.9878221649485,-70.6179281720951,1979,2014
42.989512500000004,-70.6188,2016,2016
42.98966,-70.610375,2019,2019
42.99015,-70.61869,2017,2017
42.9902,-70.61115000000001,2016,2016
42.9902022611349,-70.618576426059,2015,2015
42.990348986499995,-70.61094897800001,2014,2014
42.990404999999996,-70.610795,2017,2017
42.9906409945,-70.618034491,2014,2014
42.99079,-70.61849,2018,2018
42.99084,-70.61831,2021,2021
42.99165548756713,-70.61738552525634,2015,2015
42.992075,-70.616975,2017,2017
42.992155,-70.61671000000001,2016,2016
42.992212493,-70.6165910045,2014,2014
42.99239,-70.61666500000001,2021,2021
42.992762011,-70.611665966,2014,2014
42.99277,-70.61249000000001,2017,2017
