k,cutoff,aic,delta_aic
10,5,-3953.6047576687283,0
11,5,-3951.7381132035052,1.8666444652230894
12,5,-3950.4718313460326,3.1329263226957664
9,5,-3949.0611897783347,4.5435678903936605
8,5,-3936.4793108175954,17.125446851132892
6,5,-3933.674382265508,19.930375403220296
7,5,-3932.53616527776,21.068592390968206
12,30,-3924.4222333805974,29.182524288130935
11,30,-3923.4015661803032,30.20319148842509
10,30,-3923.3469192299667,30.25783843876161
5,5,-3922.564971928534,31.039785740194475
4,5,-3920.793295361199,32.81146230752938
12,20,-3920.54645902693,33.0582986417985
12,15,-3920.365334608925,33.23942305980336
10,20,-3920.222040547188,33.38271712154028
10,15,-3920.010902026046,33.59385564268223
11,20,-3919.733791165663,33.87096650306512
10,10,-3919.633216514966,33.971541153762246
11,15,-3919.4540242305156,34.15073343821268
12,10,-3918.949831943745,34.654925724983514
11,10,-3918.547613892898,35.057143775830355
12,50,-3917.3476279593165,36.257129709411856
9,30,-3917.078664991184,36.52609267754451
10,50,-3916.4056979557504,37.19905971297794
11,50,-3916.3311791735982,37.273578495130096
3,5,-3914.653362245547,38.95139542318111
9,15,-3914.517125861623,39.08763180710548
9,10,-3914.1864499526055,39.418307716122854
9,20,-3914.055548667686,39.54920900104253
9,50,-3909.357512447482,44.24724522124643
8,10,-3902.196818886062,51.407938782666406
8,15,-3901.4512427597506,52.15351490897774
8,30,-3901.2164195812356,52.388338087492684
6,30,-3900.2512962207743,53.35346144795403
8,20,-3900.110612659554,53.49414500917419
6,10,-3900.078309583336,53.52644808539253
6,15,-3899.140452142328,54.464305526400494
7,10,-3898.9410412310035,54.663716437724815
7,30,-3898.3650675966537,55.23969007207461
6,20,-3897.706976933447,55.89778073528123
7,15,-3897.699665829817,55.905091838911176
7,20,-3895.269874684961,58.33488298376733
8,50,-3894.516316002152,59.08844166657627
5,30,-3893.2219369612912,60.38282070743708
5,10,-3888.6964272552996,64.90833041342876
5,20,-3888.3023412226717,65.30241644605667
5,15,-3888.2217560635067,65.38300160522158
6,50,-3888.218162468943,65.38659519978546
7,50,-3885.652640813759,67.95211685496952
12,80,-3884.7976915337567,68.80706613497159
12,100,-3884.080066839566,69.52469082916241
10,100,-3883.974570415221,69.6301872535073
11,80,-3883.7800855276287,69.82467214109965
11,100,-3882.852552314117,70.7522053546113
10,80,-3882.363106366808,71.24165130192023
9,100,-3879.4962820607448,74.10847560798356
4,10,-3879.2471921114466,74.35756555728176
9,80,-3877.9433185990624,75.6614390696659
4,15,-3876.942440270182,76.66231739854629
3,10,-3875.1123985371937,78.49235913153461
5,50,-3875.0256846140774,78.57907305465096
3,15,-3873.599646583166,80.00511108556248
4,30,-3872.766772444813,80.83798522391544
4,20,-3871.7127715887063,81.89198608002198
3,30,-3871.1996088253327,82.40514884339564
3,20,-3869.914048420351,83.69070924837752
3,50,-3864.7956792823143,88.80907838641406
8,100,-3861.412571427738,92.1921862409904
8,80,-3858.90329395163,94.70146371709825
4,50,-3856.1630963146476,97.44166135408068
6,100,-3856.0506554873555,97.55410218137285
6,80,-3854.9303370306984,98.67442063802991
7,100,-3851.894855600097,101.70990206863144
7,80,-3849.8191880566123,103.78556961211598
5,100,-3837.568567662087,116.03619000664139
3,100,-3823.3253041239664,130.27945354476196
4,100,-3822.8832178770813,130.72153979164705
5,80,-3822.6097718325987,130.99498583612967
4,80,-3807.6312534439767,145.97350422475165
3,80,-3806.184107951262,147.4206497174664
