k,cutoff,sigmas_ok,all_ok
3,5,TRUE,TRUE
4,5,FALSE,FALSE
5,5,FALSE,FALSE
6,5,FALSE,FALSE
7,5,FALSE,FALSE
8,5,FALSE,FALSE
9,5,FALSE,FALSE
10,5,FALSE,FALSE
11,5,FALSE,FALSE
12,5,FALSE,FALSE
3,10,TRUE,TRUE
4,10,FALSE,FALSE
5,10,FALSE,FALSE
6,10,FALSE,FALSE
7,10,FALSE,FALSE
8,10,FALSE,FALSE
9,10,FALSE,FALSE
10,10,FALSE,FALSE
11,10,FALSE,FALSE
12,10,FALSE,FALSE
3,15,TRUE,TRUE
4,15,FALSE,FALSE
5,15,FALSE,FALSE
6,15,FALSE,FALSE
7,15,FALSE,FALSE
8,15,FALSE,FALSE
9,15,FALSE,FALSE
10,15,FALSE,FALSE
11,15,FALSE,FALSE
12,15,FALSE,FALSE
3,20,TRUE,TRUE
4,20,FALSE,FALSE
5,20,FALSE,FALSE
6,20,FALSE,FALSE
7,20,FALSE,FALSE
8,20,FALSE,FALSE
9,20,FALSE,FALSE
10,20,FALSE,FALSE
11,20,FALSE,FALSE
12,20,FALSE,FALSE
3,30,TRUE,TRUE
4,30,TRUE,TRUE
5,30,FALSE,FALSE
6,30,FALSE,FALSE
7,30,FALSE,FALSE
8,30,FALSE,FALSE
9,30,FALSE,FALSE
10,30,FALSE,FALSE
11,30,FALSE,FALSE
12,30,FALSE,FALSE
3,50,TRUE,TRUE
4,50,FALSE,FALSE
5,50,FALSE,FALSE
6,50,FALSE,FALSE
7,50,FALSE,FALSE
8,50,FALSE,FALSE
9,50,FALSE,FALSE
10,50,FALSE,FALSE
11,50,FALSE,FALSE
12,50,FALSE,FALSE
3,80,TRUE,TRUE
4,80,FALSE,FALSE
5,80,FALSE,FALSE
6,80,FALSE,FALSE
7,80,FALSE,FALSE
8,80,FALSE,FALSE
9,80,FALSE,FALSE
10,80,FALSE,FALSE
11,80,FALSE,FALSE
12,80,FALSE,FALSE
3,100,TRUE,TRUE
4,100,FALSE,FALSE
5,100,FALSE,FALSE
6,100,FALSE,FALSE
7,100,FALSE,FALSE
8,100,FALSE,FALSE
9,100,FALSE,FALSE
10,100,FALSE,FALSE
11,100,FALSE,FALSE
12,100,FALSE,FALSE
